AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00202,Bayer,William,,,,,,,,,1939,,American,M,,,,,Harvard,,,,Jewish,,"Cleveland, OH; Washington, DC; Tangier, Morocco; New York, NY; Martha's Vineyard, MA; Newtown, CT; San Francisco, CA; Sonoma, CA"
A_00205,Bayne,Mary Addams,,,,,,,,,1866,,American,F,,,,,,,,,,,"Maysville, KY; Shelbyville, KY"
A_00208,Beach,Rex,,,,,,,,,1877,1949,American,M,Caucasian,,,,"Rollins Coll, Kent Coll of Law",,,,,,"Atwood, MI; Tampa, FL; Nome, AK; Sebring, FL"
A_00209,Beahn,John Edward,,,,,,,,,1910,1990,American,M,,,,,,,Business,,Catholic,,"Philadelphia, PA"
A_00210,Beale,Charles Willing,,,,,,,,,1845,1932,American,M,,,,,U of PA,,Civil Engineer,,,,"Washington, DC; Arden, NC"
A_00213,Bear,Greg,,,,,,,,,1951,,American,M,Caucasian,,,,San Diego State U,,,,Deist,,"San Diego, CA; Seattle, WA"
A_00218,Beaton,M. C,Marion Chesney,,,,,,,,1936,,Scottish,F,Caucasian,,,,,,,,,,"Glasgow, Scotland, UK; New York, NY; Cotswalds, England; Paris, France"
A_00219,Beattie,Ann,,,,,,,,,1947,,American,F,Caucasian,,,,"American U, U of CT",,,,,,"Washington, DC; Charlottesville, VA"
A_00221,Bechdolt,Frederick R.,,,,,,,,,1874,1950,American,M,,,,,"U of ND, U of WA",,,Carmel Bunch,,,"PA; AK; Carmel, CA"
A_00222,Beck,K. K,Kathrine Kristine Marris,,,,,,,,1950,,American,F,,,,,,,,,,,"Seattle, WA"
A_00223,Beck,Lily Adams,Elizabeth Louisa Moresby,,,,,,,,1862,1931,Canadian,F,Caucasian,,,,,,,,Buddhist,,"UK; Victoria, BC, Canada"
